PARTICIPANT_FLOW_ID|NCT_ID|PERIOD_TITLE|RECRUITMENT_DETAILS|PRE_ASSIGNMENT_DETAILS
3809|NCT00313209|Overall Study||
3810|NCT00313313|Overall Study||
3811|NCT00313443|Overall Study|Recruitment at a teaching hospital, from July 2006 to October 2007.|67 consecutive patients were evaluated and 30 patients included. Reasons for non inclusion were: impossible to retrace history of amiodarone administration: 19 patients; less than 3 months on amiodarone treatment: 10 patients; unable to give informed consent: 4 patients; refused to participate: 4 patients.
4170|NCT00384813|Overall Study|Families were recruited from an urban hospital and a residential camp for children with asthma.  Initial eligibility criteria : (a) residence in one of two urban counties, (b) child age 8 to 13, (c) Medicaid or State Children’s Health Insurance Program, (d) current prescription of a daily controller agent, and (e) poorly controlled asthma.|Caregivers of children meeting initial eligibility criteria were interviewed briefly by phone; those answering affirmatively to either of two stress questions were invited to participate in a Screening Assessment. Caregivers with an elevated score on a stress measure were invited to participate in the trial.
4171|NCT00384930|Overall Study||Prior to randomization, participants had a 1-4 week Screening/Wash-out Period, followed by a 4 week Placebo Run-In Period. 1813 participants were screened with 755 screen failures, and 1058 participants randomized. The two participants who did not receive study drug were not included in the baseline demographics table.
4172|NCT00384956|Overall Study|Enrollment to the study started on 08/17/2006 and enrollment to the study closed on 06/10/2008.|
4173|NCT00385138|Overall Study|Patients were selected for randomization based on the need for percutaneous coronary intervention (PCI).
Randomization could only occur after the need for PCI was confirm by angiography.|
4174|NCT00385203|Overall Study|Enrolled: 45mg GIST=26, 45mg STS=10; Full analysis set: 45mg GIST=25, 45mg STS=10; Safety set: 45mg GIST=24, 45mg STS=10.  36 patients were enrolled and 35 patients were randomized. One GIST patient consented but had an adverse event and was withdrawn from the study before they were randomised.|
4175|NCT00385216|First Intervention||
4176|NCT00385216|Second Intervention||
4177|NCT00385268|Overall Study||
4178|NCT00389324|Intravenous Phase|First Patient, First Visit: Nov. 21, 2006, Last patient, Last visit: Aug. 26, 2008. This study was performed at medical clinics.|
4179|NCT00389324|Subcutaneous Phase|First Patient, First Visit: Nov. 21, 2006, Last patient, Last visit: Aug. 26, 2008. This study was performed at medical clinics.|
4180|NCT00389441|Overall Study||
4181|NCT00389467|Overall Study|From 2004 to 2011, participants were enrolled at 22 sites with expertise in acute stroke care, imaging and interventional neuroradiological procedures. Eligible patients presenting within 8 hours of symptom onset were enrolled. The study website generated a randomized treatment assignment using a penumbral pattern code based on brain imaging.|Randomization was stratified by favorable penumbral or non-penumbral pattern based on on-site analysis of baseline multimodal MRI or multimodal CT. While 127 subjects were enrolled, only 118 of these subjects qualified for the primary analysis per discussion with the DSMB as 9 subjects enrolled did not actually meet full eligibility criteria.
4182|NCT00389493|Overall Study|A randomized clinical trial (conducted January 2007-August 2012) at 2 academic outpatient research clinics that specialize in OCD and anxiety disorders. Patients (aged 18-70 years) were eligible if they had OCD of at least moderate severity despite a therapeutic SRI dose for at least 12 weeks prior to entry.|
4183|NCT00389519|Placebo Run-In|Study was conducted from October 2006 to November 2007 at 56 international sites|Subjects entered placebo run-in prior to randomization
5228|NCT00526331|Overall Study|Recruitment Period of August 8, 2007 to June 30, 2008 at UT MD Anderson Cancer Center.  Study recruitment done at medical clinics.|Study terminated by sponsor responsible for multi-center data collection and reporting.  No data collection or analysis completed.
5229|NCT00526474|Overall Study|Prior to planned study completion, the Data Safety Monitoring Board  (DSMB) recommended discontinuation of study drug in all participants with a pre- or post-randomization history of stroke. A total of 4510 participants had study medication stopped, however these participants were included in the overall population for efficacy and safety analyses.|The Intent to Treat (ITT) Population, defined as all enrolled participants who were randomly assigned to a treatment group.
5363|NCT00552396|Overall Study|32 subjects were enrolled and 21 subjects were screen failures|
5364|NCT00552409|Overall Study|Ninety-three participants from medical clinics associated from the University of Washington (Seattle, WA) provided informed consent for this study between February, 2008 through June, 2009.|Of the 93 participants who provided informed consent, 63 were ineligible, 8 withdrew prior to randomization, and 22 were randomized to treatment.
5365|NCT00552513|Overall Study||
5366|NCT00552578|Overall Study|12 participants recruited Dec 2007 to Apr 2008|
5367|NCT00552669|Overall Study|Between January 2006 to September 2007 we enrolled 200 patients in the trial.|From 1274 patients with coronary angiography, 789 met clinical inclusion criteria, from whom 102 have angiographic exclusion criteria. 487 were excluded for inability for percutaneous coronary intervention (PCI) with drug eluting stent (DES) deployment or refuse to participate in the study; thus 200 patients were included in this randomized trial.
5368|NCT00552695|Overall Study||
5369|NCT00552760|Overall Study|Recruitment began in October 2007 and was completed by August 2009. Participants, who at the time were receiving outpatient psychiatric services through Lehigh Valley Hospital, were recruited via referral through the department of psychiatry, and also through print advertisement. Participants received a $20 travel stipend for each appointment.|90 participants signed the informed consent document, 7 were screen failures, and 83 were randomized to receive either Ramelteon or placebo. During the study, both groups were maintained on their usual medications for bipolar disorder and were not allowed to have any meds changed, as this would signify a manic or depressed event.
5370|NCT00552786|First Intervention|Participants recruited between November 2007 and January 2008.|A total of 60 workers voluntarily participated in this study. However, 6 workers had preexisting hearing loss of >50 dBA at high frequency and 1 worker accidentally turned off the noise monitoring device. These 7 participants were excluded from the analysis. The 53 workers who satisfactorily completed the study.
5371|NCT00552786|Washout Period of 2 Weeks|Participants recruited between November 2007 and January 2008.|A total of 60 workers voluntarily participated in this study. However, 6 workers had preexisting hearing loss of >50 dBA at high frequency and 1 worker accidentally turned off the noise monitoring device. These 7 participants were excluded from the analysis. The 53 workers who satisfactorily completed the study.
5372|NCT00552786|Second Intervention|Participants recruited between November 2007 and January 2008.|A total of 60 workers voluntarily participated in this study. However, 6 workers had preexisting hearing loss of >50 dBA at high frequency and 1 worker accidentally turned off the noise monitoring device. These 7 participants were excluded from the analysis. The 53 workers who satisfactorily completed the study.
